学校,班型,分数
二中,普班,485
汇文,学堂,483
广中,人工智能班,482
五中,领航,480
景山,攀峰班,480
广中,宏志班,477
171中,普班,477
五中,实验班,476
汇文,实验班,476
景山,普班,475
龙潭,本校一体化,474
东直门,普班,473
166中,生命科学实验班,473
龙潭,人工智能班,471
11中,徐特立班,470
166中,普班,469
11中,领域实验班,468
55中,实验班,468
汇文实验,实验班,467
50中,思齐班,467
165中,实验班,466
11中,普班,463
24中,元培1班,463
55中,普班,462
50中,普班,459
24中,元培2班,459
165中,普班,457
24中,普班,452
