junior_school,high_school,quota
北京汇文中学,北京市第五中学,1
北京汇文实验中学,北京市第十一中学,4
北京汇文中学,北京市第十一中学,4
北京汇文实验中学,北京市第五十中学,3
北京汇文中学,北京市第五十中学,3
北京汇文实验中学,北京市第五十五中学,2
北京汇文中学,北京市第五十五中学,2
北京汇文实验中学,北京市第一零九中学,3
北京汇文中学,北京市第一零九中学,3
北京汇文实验中学,北京市第一六六中学,2
北京汇文中学,北京市第一六六中学,3
北京汇文实验中学,北京市第一七一中学,0
北京汇文中学,北京市第一七一中学,1
北京汇文实验中学,北京市广渠门中学,1
北京汇文中学,北京市广渠门中学,1
北京汇文实验中学,北京汇文中学,2
北京汇文中学,北京汇文中学,3
北京汇文实验中学,北京市东直门中学,0
北京汇文中学,北京市东直门中学,1
北京汇文实验中学,北京景山学校,1
北京汇文中学,北京景山学校,1
北京汇文实验中学,北京市第二十二中学,2
北京汇文中学,北京市第二十二中学,3
北京汇文实验中学,北京市龙潭中学,1
北京汇文中学,北京市龙潭中学,1
北京市第一四二中学,北京市第二中学,2
北京市第一四二中学,北京市第五中学,2
北京市第一四二中学,北京市第十一中学,3
北京市第一四二中学,北京市第五十中学,5
北京市第一四二中学,北京市第五十五中学,10
北京市第一四二中学,北京市第一零九中学,3
北京市第一四二中学,北京市第一六六中学,8
北京市第一四二中学,北京市第一七一中学,2
北京市第一四二中学,北京市广渠门中学,1
北京市第一四二中学,北京汇文中学,2
北京市第一四二中学,北京市东直门中学,5
北京市第一四二中学,北京市第二十二中学,10
北京市第一四二中学,北京市龙潭中学,1
北京市第一六五中学,北京市第二中学,1
北京市东直门中学,北京市第二中学,1
北京市第一六五中学,北京市第五中学,1
北京市东直门中学,北京市第五中学,1
北京市第一六五中学,北京市第十一中学,1
北京市东直门中学,北京市第十一中学,1
北京市第一六五中学,北京市第五十中学,1
北京市东直门中学,北京市第五十中学,1
北京市第一六五中学,北京市第五十五中学,2
北京市东直门中学,北京市第五十五中学,2
北京市第一六五中学,北京市第一零九中学,1
北京市东直门中学,北京市第一零九中学,1
北京市第一六五中学,北京市第一六六中学,1
北京市东直门中学,北京市第一六六中学,1
北京市第一六五中学,北京市第一七一中学,0
北京市东直门中学,北京市第一七一中学,1
北京市第一六五中学,北京市广渠门中学,0
北京市东直门中学,北京市广渠门中学,1
北京市第一六五中学,北京汇文中学,0
北京市东直门中学,北京汇文中学,1
北京市第一六五中学,北京市东直门中学,1
北京市东直门中学,北京市东直门中学,1
北京市第一六五中学,北京景山学校,1
北京市东直门中学,北京景山学校,1
北京市第一六五中学,北京市第二十二中学,1
北京市东直门中学,北京市第二十二中学,2
北京市第一六五中学,北京市龙潭中学,0
北京市东直门中学,北京市龙潭中学,1
北京市第一六六中学,北京市第二中学,1
北京市第一六六中学,北京市第五中学,2
北京市第一六六中学,北京市第十一中学,1
北京市第一六六中学,北京市第五十中学,2
北京市第一六六中学,北京市第五十五中学,3
